,,,,,,
,,,,,,
Mubele Firmin Ndombe,Attaquant,Toulouse,"4,5",1,9,11 %
,,,,,,
Thioub Sada,Attaquant,Nîmes,5,3,9,71 %
,,,,,,
Basic Toma,Mil. Def.,Bordeaux,"4,8",2,9,42 %
,,,,,,
Kwateng Enock,Def. Lat.,Nantes,"4,9",0,9,58 %
,,,,,,
Charles Traoré,Def. Lat.,Nantes,"5,1",0,9,34 %
,,,,,,
Dibassy Bakaye,Def. Lat.,Amiens,"4,8",1,9,84 %
,,,,,,
Alakouch Sofiane,Def. Lat.,Nîmes,"4,8",1,9,61 %
,,,,,,
Grandsir Samuel,Attaquant,Strasbourg,"4,7",0,9,16 %
,,,,,,
Sacko Ihsan,Mil. Off,Nice,"4,7",0,9,11 %
,,,,,,
Diaby Moussa,Attaquant,Paris,5,2,9,26 %
,,,,,,
Srarfi Bassem,Mil. Off,Nice,"4,9",1,9,21 %
,,,,,,
Ganago Ignatius,Attaquant,Nice,"4,7",2,9,24 %
,,,,,,
Deminguet Jessy,Mil. Off,Caen,"4,9",0,9,39 %
,,,,,,
Armougom Yoel,Def. Lat.,Caen,"4,8",0,9,53 %
,,,,,,
El Melali Farid,Mil. Off,Angers,"4,7",0,9,0 %
,,,,,,
Zahary Younn,Def. Cen.,Caen,"4,6",0,9,18 %
,,,,,,
Plasil Jaroslav,Mil. Def.,Bordeaux,"5,1",0,8,42 %
,,,,,,
Didot Étienne,Mil. Def.,Guingamp,"4,7",1,8,61 %
,,,,,,
Naldo,Def. Cen.,Monaco,"4,5",0,8,13 %
,,,,,,
Bodmer Mathieu,Def. Cen.,Amiens,"4,7",1,8,26 %
,,,,,,
Jallet Christophe,Def. Lat.,Nice,"5,2",1,8,29 %
,,,,,,
Vainqueur William,Mil. Def.,Monaco,"4,5",0,8,3 %
,,,,,,
Deaux Lucas,Mil. Def.,Guingamp,"4,8",3,8,45 %
,,,,,,
Sankharé Younousse,Mil. Def.,Bordeaux,5,1,8,45 %
,,,,,,
Adénon Khaled,Def. Cen.,Amiens,"4,7",0,8,58 %
,,,,,,
Martin Marvin,Mil. Off,Reims,"4,8",0,8,21 %
,,,,,,
Sammaritano Frederic,Mil. Off,Dijon,"4,8",0,8,16 %
,,,,,,
Rafael,Def. Lat.,Lyon,5,0,8,29 %
,,,,,,
Salibur Yannis,Mil. Off,Saint-Étienne,5,1,8,24 %
,,,,,,
Rui Fonte,Attaquant,Lille,"4,5",1,8,13 %
,,,,,,
N'Gbakoto Yeni,Attaquant,Guingamp,"4,5",1,8,11 %
,,,,,,
Chavarria Pablo,Attaquant,Reims,"4,6",5,8,61 %
,,,,,,
Carole Lionel,Def. Lat.,Strasbourg,5,0,8,53 %
,,,,,,
Corgnet Benjamin,Mil. Off,Strasbourg,5,1,8,16 %
,,,,,,
Lybohy Herve,Def. Cen.,Nîmes,"4,8",2,8,39 %
,,,,,,
Benezet Nicolas,Mil. Off,Guingamp,"4,9",3,8,47 %
,,,,,,
Eysseric Valentin,Mil. Off,Nantes,"4,8",1,8,8 %
,,,,,,
Landre Loïck,Def. Cen.,Nîmes,"5,1",3,8,50 %
,,,,,,
Diomande Ismael,Mil. Def.,Caen,"4,9",0,8,37 %
,,,,,,
Moubandje François,Def. Lat.,Toulouse,"4,8",0,8,55 %
,,,,,,
Sarr Bouna,Mil. Off,Marseille,5,1,8,66 %
,,,,,,
Rabiot Adrien,Mil. Def.,Paris,"6,2",2,8,32 %
,,,,,,
Ndong Didier,Mil. Def.,Guingamp,"4,6",0,8,21 %
,,,,,,
Diony Lois,Attaquant,Saint-Étienne,"4,9",5,8,50 %
